filepath,cluster
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_13.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_130.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_131.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_132.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_133.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_134.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_135.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_136.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_137.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_138.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_139.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_14.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_140.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_141.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_142.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_143.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_144.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_145.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_146.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_147.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_148.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_149.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_15.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_150.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_151.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_152.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_153.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_154.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_155.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_156.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_157.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_158.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_159.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_16.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_160.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_161.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_162.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_163.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_164.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_165.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_166.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_167.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_168.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_169.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_17.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_170.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_171.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_172.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_173.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_174.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_175.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_176.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_177.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_178.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_179.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_18.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_180.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_181.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_182.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_183.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_184.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_185.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_186.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_187.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_188.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_189.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_19.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_190.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_191.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_192.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_193.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_194.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_195.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_196.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_197.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_198.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_199.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_2.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_20.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_200.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_201.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_202.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_203.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_204.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_205.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_206.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_207.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_208.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_209.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_21.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_210.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_211.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_212.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_213.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_214.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_215.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_216.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_217.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_218.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_219.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_22.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_220.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_221.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_222.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_223.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_224.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_225.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_226.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_227.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_228.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_229.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_23.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_230.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_231.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_232.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_233.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_234.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_235.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_236.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_237.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_238.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_239.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_24.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_240.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_241.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_242.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_243.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_244.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_245.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_246.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_247.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_248.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_249.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_25.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_250.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_251.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_252.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_253.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_254.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_255.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_256.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_257.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_258.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_259.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_26.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_260.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_261.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_262.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_263.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_264.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_265.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_266.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_267.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_268.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_269.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_27.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_270.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_271.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_272.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_273.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_274.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_275.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_276.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_277.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_278.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_279.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_28.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_280.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_281.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_282.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_283.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_284.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_285.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_286.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_287.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_288.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_289.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_29.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_290.jpg,3
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_291.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_292.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_293.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_294.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_295.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_296.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_297.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_298.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_299.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_3.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_30.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_300.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_301.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_302.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_303.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_304.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_305.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_306.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_307.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_308.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_309.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_31.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_310.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_311.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_312.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_313.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_314.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_315.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_316.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_317.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_318.jpg,0
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_319.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_32.jpg,2
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_320.jpg,1
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_321.jpg,4
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_322.jpg,4
