filepath,filename,ext,size_bytes,width,height,aspect,is_readable
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_12.jpg,Image_12.jpg,.jpg,24279,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_120.jpg,Image_120.jpg,.jpg,10949,159,240,0.6625,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_121.jpg,Image_121.jpg,.jpg,34801,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_122.jpg,Image_122.jpg,.jpg,112899,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_123.jpg,Image_123.jpg,.jpg,47198,320,253,1.2648,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_124.jpg,Image_124.jpg,.jpg,31527,320,232,1.3793,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_125.jpg,Image_125.jpg,.jpg,29626,240,240,1.0,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_126.jpg,Image_126.jpg,.jpg,39112,386,320,1.2063,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_127.jpg,Image_127.jpg,.jpg,92145,500,407,1.2285,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_128.jpg,Image_128.jpg,.jpg,64311,500,334,1.497,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_129.jpg,Image_129.jpg,.jpg,29891,320,263,1.2167,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_13.jpg,Image_13.jpg,.jpg,109603,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_130.jpg,Image_130.jpg,.jpg,62468,500,281,1.7794,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_131.jpg,Image_131.jpg,.jpg,37120,320,289,1.1073,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_132.jpg,Image_132.jpg,.jpg,136031,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_133.jpg,Image_133.jpg,.jpg,64148,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_134.jpg,Image_134.jpg,.jpg,85726,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_135.jpg,Image_135.jpg,.jpg,81701,500,375,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_136.jpg,Image_136.jpg,.jpg,42271,500,334,1.497,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_137.jpg,Image_137.jpg,.jpg,51257,500,375,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_138.jpg,Image_138.jpg,.jpg,13462,240,240,1.0,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_139.jpg,Image_139.jpg,.jpg,23294,180,240,0.75,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_14.jpg,Image_14.jpg,.jpg,33279,320,236,1.3559,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_140.jpg,Image_140.jpg,.jpg,25859,237,240,0.9875,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_141.jpg,Image_141.jpg,.jpg,86348,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_142.jpg,Image_142.jpg,.jpg,54841,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_143.jpg,Image_143.jpg,.jpg,32095,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_144.jpg,Image_144.jpg,.jpg,124989,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_145.jpg,Image_145.jpg,.jpg,83893,500,325,1.5385,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_146.jpg,Image_146.jpg,.jpg,85933,500,375,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_147.jpg,Image_147.jpg,.jpg,55898,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_148.jpg,Image_148.jpg,.jpg,15859,179,240,0.7458,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_149.jpg,Image_149.jpg,.jpg,154641,500,375,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_15.jpg,Image_15.jpg,.jpg,24379,180,240,0.75,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_150.jpg,Image_150.jpg,.jpg,78030,500,375,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_151.jpg,Image_151.jpg,.jpg,48725,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_152.jpg,Image_152.jpg,.jpg,51483,320,213,1.5023,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_153.jpg,Image_153.jpg,.jpg,24445,320,218,1.4679,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_154.jpg,Image_154.jpg,.jpg,15989,240,240,1.0,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_155.jpg,Image_155.jpg,.jpg,27575,240,240,1.0,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_156.jpg,Image_156.jpg,.jpg,55993,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_157.jpg,Image_157.jpg,.jpg,23764,320,213,1.5023,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_158.jpg,Image_158.jpg,.jpg,24838,320,222,1.4414,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_159.jpg,Image_159.jpg,.jpg,107241,500,425,1.1765,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_16.jpg,Image_16.jpg,.jpg,28201,180,240,0.75,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_160.jpg,Image_160.jpg,.jpg,22950,198,240,0.825,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_161.jpg,Image_161.jpg,.jpg,52385,320,231,1.3853,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_162.jpg,Image_162.jpg,.jpg,19919,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_163.jpg,Image_163.jpg,.jpg,37525,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_164.jpg,Image_164.jpg,.jpg,30344,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_165.jpg,Image_165.jpg,.jpg,80021,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_166.jpg,Image_166.jpg,.jpg,20116,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_167.jpg,Image_167.jpg,.jpg,74109,500,375,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_168.jpg,Image_168.jpg,.jpg,29688,320,213,1.5023,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_169.jpg,Image_169.jpg,.jpg,54064,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_17.jpg,Image_17.jpg,.jpg,51624,500,336,1.4881,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_170.jpg,Image_170.jpg,.jpg,71866,441,390,1.1308,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_171.jpg,Image_171.jpg,.jpg,48210,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_172.jpg,Image_172.jpg,.jpg,42211,320,257,1.2451,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_173.jpg,Image_173.jpg,.jpg,104410,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_174.jpg,Image_174.jpg,.jpg,41338,320,213,1.5023,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_175.jpg,Image_175.jpg,.jpg,66683,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_176.jpg,Image_176.jpg,.jpg,32573,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_177.jpg,Image_177.jpg,.jpg,86897,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_178.jpg,Image_178.jpg,.jpg,18643,197,240,0.8208,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_179.jpg,Image_179.jpg,.jpg,72855,500,375,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_18.jpg,Image_18.jpg,.jpg,75275,500,375,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_180.jpg,Image_180.jpg,.jpg,26421,320,246,1.3008,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_181.jpg,Image_181.jpg,.jpg,45497,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_182.jpg,Image_182.jpg,.jpg,20858,180,240,0.75,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_183.jpg,Image_183.jpg,.jpg,39664,240,223,1.0762,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_184.jpg,Image_184.jpg,.jpg,89356,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_185.jpg,Image_185.jpg,.jpg,30800,320,229,1.3974,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_186.jpg,Image_186.jpg,.jpg,43239,320,238,1.3445,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_187.jpg,Image_187.jpg,.jpg,80829,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_188.jpg,Image_188.jpg,.jpg,30610,235,240,0.9792,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_189.jpg,Image_189.jpg,.jpg,19158,231,240,0.9625,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_19.jpg,Image_19.jpg,.jpg,56943,500,376,1.3298,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_190.jpg,Image_190.jpg,.jpg,54679,320,224,1.4286,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_191.jpg,Image_191.jpg,.jpg,16630,175,240,0.7292,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_192.jpg,Image_192.jpg,.jpg,33029,192,240,0.8,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_193.jpg,Image_193.jpg,.jpg,51151,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_194.jpg,Image_194.jpg,.jpg,15246,240,240,1.0,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_195.jpg,Image_195.jpg,.jpg,58473,320,213,1.5023,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_196.jpg,Image_196.jpg,.jpg,108124,500,375,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_197.jpg,Image_197.jpg,.jpg,46195,320,213,1.5023,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_198.jpg,Image_198.jpg,.jpg,26550,180,240,0.75,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_199.jpg,Image_199.jpg,.jpg,25495,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_2.jpg,Image_2.jpg,.jpg,47841,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_20.jpg,Image_20.jpg,.jpg,60998,500,414,1.2077,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_200.jpg,Image_200.jpg,.jpg,30942,240,232,1.0345,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_201.jpg,Image_201.jpg,.jpg,41384,320,241,1.3278,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_202.jpg,Image_202.jpg,.jpg,22272,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_203.jpg,Image_203.jpg,.jpg,37262,500,338,1.4793,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_204.jpg,Image_204.jpg,.jpg,25454,320,219,1.4612,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_205.jpg,Image_205.jpg,.jpg,19926,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_206.jpg,Image_206.jpg,.jpg,26456,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_207.jpg,Image_207.jpg,.jpg,50159,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_208.jpg,Image_208.jpg,.jpg,26896,320,239,1.3389,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_209.jpg,Image_209.jpg,.jpg,66729,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_21.jpg,Image_21.jpg,.jpg,79478,500,375,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_210.jpg,Image_210.jpg,.jpg,60755,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_211.jpg,Image_211.jpg,.jpg,94246,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_212.jpg,Image_212.jpg,.jpg,71879,500,375,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_213.jpg,Image_213.jpg,.jpg,19826,180,240,0.75,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_214.jpg,Image_214.jpg,.jpg,68143,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_215.jpg,Image_215.jpg,.jpg,114751,500,375,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_216.jpg,Image_216.jpg,.jpg,48121,500,341,1.4663,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_217.jpg,Image_217.jpg,.jpg,40006,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_218.jpg,Image_218.jpg,.jpg,23652,240,240,1.0,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_219.jpg,Image_219.jpg,.jpg,41317,500,375,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_22.jpg,Image_22.jpg,.jpg,37406,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_220.jpg,Image_220.jpg,.jpg,99666,500,375,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_221.jpg,Image_221.jpg,.jpg,28200,320,213,1.5023,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_222.jpg,Image_222.jpg,.jpg,99573,500,375,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_223.jpg,Image_223.jpg,.jpg,60718,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_224.jpg,Image_224.jpg,.jpg,175391,500,441,1.1338,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_225.jpg,Image_225.jpg,.jpg,36724,240,221,1.086,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_226.jpg,Image_226.jpg,.jpg,25665,180,240,0.75,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_227.jpg,Image_227.jpg,.jpg,37096,240,240,1.0,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_228.jpg,Image_228.jpg,.jpg,37733,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_229.jpg,Image_229.jpg,.jpg,75415,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_23.jpg,Image_23.jpg,.jpg,14639,240,230,1.0435,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_230.jpg,Image_230.jpg,.jpg,71085,500,311,1.6077,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_231.jpg,Image_231.jpg,.jpg,28717,180,240,0.75,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_232.jpg,Image_232.jpg,.jpg,36434,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_233.jpg,Image_233.jpg,.jpg,42488,320,238,1.3445,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_234.jpg,Image_234.jpg,.jpg,22110,320,217,1.4747,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_235.jpg,Image_235.jpg,.jpg,41180,320,232,1.3793,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_236.jpg,Image_236.jpg,.jpg,105024,500,398,1.2563,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_237.jpg,Image_237.jpg,.jpg,123786,500,375,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_238.jpg,Image_238.jpg,.jpg,101503,500,332,1.506,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_239.jpg,Image_239.jpg,.jpg,58633,500,335,1.4925,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_24.jpg,Image_24.jpg,.jpg,67195,320,240,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_240.jpg,Image_240.jpg,.jpg,28894,180,240,0.75,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_241.jpg,Image_241.jpg,.jpg,50614,320,213,1.5023,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_242.jpg,Image_242.jpg,.jpg,80118,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_243.jpg,Image_243.jpg,.jpg,18506,180,240,0.75,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_244.jpg,Image_244.jpg,.jpg,20374,240,226,1.0619,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_245.jpg,Image_245.jpg,.jpg,62069,500,246,2.0325,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_246.jpg,Image_246.jpg,.jpg,22242,240,218,1.1009,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_247.jpg,Image_247.jpg,.jpg,55133,320,213,1.5023,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_248.jpg,Image_248.jpg,.jpg,59279,500,375,1.3333,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_249.jpg,Image_249.jpg,.jpg,36409,500,285,1.7544,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_25.jpg,Image_25.jpg,.jpg,79069,500,333,1.5015,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_250.jpg,Image_250.jpg,.jpg,22009,320,239,1.3389,True
/content/drive/MyDrive/MASTER BIG DATA/md2_2025/ej4_clustering_flores/data/flores/Image_251.jpg,Image_251.jpg,.jpg,77152,500,309,1.6181,True
